IDs,ECFCs_Crit_C1,ECFCs_Crit_C2,ECFCs_Crit_C3,ECFCs_Crit_C4,ECFCs_Crit_C5,ECFCs_Crit_C6,ECFCs_Crit_C7,ECFCs_Crit_C8,ECFCs_PCR+_066,ECFCs_PCR+_081,ECFCs_PCR+_090,ECFCs_PCR+_111,ECFCs_PCR+_163,ECFCs_PCR+_169,ECFCs_PCR+_195,ECFCs_PCR+_299,ECFCs_Neg_001,ECFCs_Neg_013,ECFCs_Neg_0012,ECFCs_Neg_004,ECFCs_Neg_005,ECFCs_Neg_006,ECFCs_Neg_007,ECFCs_Neg_008
Q16270,129.77,117.949,135.391,132.634,141.065,131.439,113.736,116.113,87.5598,78.292,76.3564,78.7261,80.5173,88.5483,85.0478,88.6372,71.7684,71.1692,73.4301,75.8996,76.7144,72.6844,67.7805,65.8038
Q1KMD3,312.568,339.067,277.533,266.553,290.598,300.353,263.136,284.074,266.518,241.081,238.438,236.444,247.864,235.416,238.403,245.796,215.61,226.13,221.452,226.31,186.102,207.037,190.142,211.753
Q2TAY7,159.589,146.903,133.043,140.175,156.001,149.758,141.155,139.365,131.164,120.517,112.682,119.104,121.267,131.313,150.227,119.697,115.002,96.8201,91.4158,110.564,101.399,104.581,99.4555,96.3369
Q32P41,56.5338,27.684,56.7468,42.7904,55.1815,50.3141,44.8815,27.6176,23.9756,58.6462,68.0309,80.6866,76.6183,58.5191,39.7943,48.6,4.54834,33.9183,,10.7736,,,5.35995,
Q3MHD2,134.933,197.98,285.547,283.729,210.504,241.101,233.487,285.76,166.412,155.301,164.643,159.649,183.32,152.653,200.007,172.4,99.342,50.5989,73.7589,119.029,131.697,91.9043,77.8608,92.7759
Q53GS9,84.9247,82.4222,105.978,85.7568,75.2114,103.783,115.942,91.8494,120.31,104.633,97.3867,97.7967,105.052,106.759,79.077,106.516,140.805,149.79,165.584,120.787,138.129,147.652,131.801,108.792
Q5K4L6,11.7593,19.2342,24.391,26.8739,,18.8585,22.5609,15.7281,49.8192,52.3758,57.6853,55.6447,53.6683,43.4978,53.2806,46.2131,35.723,40.3244,29.8991,50.1207,26.9676,33.6863,27.3122,39.5199
Q643R3,,,,29.4341,26.7048,,,,41.7637,34.3808,18.0087,16.0905,14.2412,15.4027,27.0077,33.3046,78.826,186.671,66.2963,68.6457,58.0588,57.0643,47.7526,54.3513
Q6ICB0,9.82341,46.9202,20.741,25.7577,19.8865,24.9841,23.9441,17.3438,27.4798,26.62,15.795,13.0806,20.0374,15.4555,20.014,25.7714,6.15741,,5.87223,6.42952,3.76307,2.07568,,
Q6P4F2,48.4834,63.2668,42.5445,48.1719,,28.9115,14.9133,24.3324,50.3697,28.7959,30.4241,34.7182,33.0147,35.6436,29.9948,39.5127,61.2972,113.355,110.528,54.3941,64.3741,63.0914,59.6879,96.3996
Q6YP21,106.243,125.606,62.7102,66.6352,61.3299,88.2415,75.8059,63.858,96.291,69.8567,72.0379,59.9802,72.2563,53.4586,87.2037,68.3448,82.9881,167.594,130.825,96.8346,128.397,88.7086,91.6819,130.908
