proteins	Protein_abundance_rank	Coefficient_of_variation	CVs
P09429	390	3.706018698	<=20% : 885
Q9UM47	391	23.89197126	21-40% : 204
P17655	392	9.617279543	<=20% : 885
Q08554-2	393	57.09777663	>41% : 156
P35442	394	3.7813396	<=20% : 885
Q8WWA0	395	5.76760159	<=20% : 885
Q6UXH9-2	396	4.84427897	<=20% : 885
A0A0C4DH38	397	38.37363622	21-40% : 204
A0A0B4J1V2	398	51.04707623	>41% : 156
P08514	399	5.024450969	<=20% : 885
P00326	400	8.245697437	<=20% : 885
P07437	401	9.319472927	<=20% : 885
P09603	402	8.074220376	<=20% : 885
Q8WTU2	403	8.023267579	<=20% : 885
Q9HCU0	404	12.10834779	<=20% : 885
P00325	405	2.852265022	<=20% : 885
A0A075B6Q5	406	43.9102352	>41% : 156
Q9UBP4	407	3.430323148	<=20% : 885
P29122-2	408	9.207146136	<=20% : 885
Q8TER0-4	409	6.709813491	<=20% : 885
P14555	410	23.60077307	21-40% : 204
Q7Z7G0	411	6.390246275	<=20% : 885
P15907	412	51.66489347	>41% : 156
Q96HR3-2	413	28.27929855	21-40% : 204
P01594	414	34.19886692	21-40% : 204
Q99542	415	61.3508537	>41% : 156
P11226	416	18.02500912	<=20% : 885
A0A075B6R9	417	43.19293783	>41% : 156
P55285-2	418	10.90225696	<=20% : 885
P13667	419	6.625262475	<=20% : 885
P01718	420	10.38470283	<=20% : 885
Q9NRA1	421	59.72931575	>41% : 156
P08571	422	7.730232051	<=20% : 885
A2VDJ0-2	423	40.80713428	21-40% : 204
P04632	424	12.69918062	<=20% : 885
P20160	425	21.63314544	21-40% : 204
P29279	426	5.127124923	<=20% : 885
Q5JRA6-2	427	10.28150919	<=20% : 885
Q05639	428	14.25995974	<=20% : 885
O75636	429	14.02185122	<=20% : 885
Q93091	430	11.74663272	<=20% : 885
Q02818	431	10.02172406	<=20% : 885
P21810	432	9.80308432	<=20% : 885
P23471-2	433	5.09951594	<=20% : 885
P53999	434	84.96542393	>41% : 156
P21333-2	435	2.52963044	<=20% : 885
Q92187	436	16.77068819	<=20% : 885
A0A0B4J2D9	437	20.87442727	<=20% : 885
P13929	438	4.630156705	<=20% : 885
CONP35527	439	62.85798573	>41% : 156
O75340	440	19.01817943	<=20% : 885
P14598	441	2.787346527	<=20% : 885
D5H3J5	442	7.775418378	<=20% : 885
P48059-2	443	5.755226256	<=20% : 885
Q12905	444	9.256852853	<=20% : 885
P06858	445	5.34308146	<=20% : 885
P27105	446	21.2367982	21-40% : 204
P16284	447	11.91990117	<=20% : 885
Q9BYZ8	448	9.384706049	<=20% : 885
Q13217	449	49.22726143	>41% : 156
P37802-2	450	25.52619219	21-40% : 204
P84077	451	9.428172462	<=20% : 885
O95810	452	8.305790417	<=20% : 885
P63104	453	17.32157463	<=20% : 885
P33151	454	8.186223597	<=20% : 885
P04430	455	51.56031575	>41% : 156
Q92882	456	14.42118967	<=20% : 885
Q15942	457	4.517732977	<=20% : 885
P05019	458	6.695018183	<=20% : 885
O00299	459	16.11318329	<=20% : 885
Q9BRK5	460	7.759593331	<=20% : 885
P12110-2	461	4.323851974	<=20% : 885
O15439	462	21.60470932	21-40% : 204
P06331	463	51.26404814	>41% : 156
P55209-2	464	17.95348246	<=20% : 885
Q9Y4F1-2	465	17.71813779	<=20% : 885
A6NDG6	466	89.80680769	>41% : 156
P30990	467	5.246065001	<=20% : 885
A0A0C4DH31	468	20.86412195	<=20% : 885
O14594	469	7.718089016	<=20% : 885
A0A0C4DH30	470	48.88943183	>41% : 156
P60022	471	32.27196133	21-40% : 204
Q09666	472	9.734684539	<=20% : 885
P16112-2	473	7.413719931	<=20% : 885
Q9HCB6	474	37.64085567	21-40% : 204
Q13418	475	8.366736011	<=20% : 885
Q12797-10	476	6.707091874	<=20% : 885
P02452	477	15.64299386	<=20% : 885
